Frame,X pixels,Y pixels,,,Frame,X pixels,Y pixels,,offx,offy,len,Bank Angle,,Cue Angle
440,768.355,421.699,,,440,1142.75,406.352,,374.395,-15.347,374.709416,-2.347323863,-0.040957071,46.94669711
441,767.949,421.738,,,441,1142.75,406.324,,374.801,-15.414,375.1178228,-2.355009047,-0.041091089,46.97894024
442,767.914,421.738,,,442,1143.22,406.512,,375.306,-15.226,375.6147291,-2.323190661,-0.040536217,46.91942601
443,767.891,421.5,,,443,1142.79,406.48,,374.899,-15.02,375.1997609,-2.294278195,-0.040032008,46.86694237
444,767.938,421.516,,,444,1143.35,406.488,,375.412,-15.028,375.7126702,-2.292365427,-0.039998651,46.86069981
445,768,421.547,,,445,1143.16,406.539,,375.16,-15.008,375.460072,-2.29085401,-0.039972293,47.267911
446,768.082,421.574,,,446,1142.71,406.566,,374.628,-15.008,374.9284978,-2.294103722,-0.040028966,47.23470484
447,767.344,421.441,,,447,1142.79,407.328,,375.446,-14.113,375.7111599,-2.152732483,-0.03756343,47.32638241
448,767.844,421.465,,,448,1143.21,407.777,,375.366,-13.688,375.6154886,-2.088407798,-0.036441522,47.22804664
449,767.91,421.695,,,449,1143.31,407.766,,375.4,-13.929,375.6583249,-2.124951969,-0.037078907,47.29818351
450,767.922,421.691,,,450,1142.78,407.863,,374.858,-13.828,375.1129613,-2.112605197,-0.036863562,47.21193918
451,767.82,421.68,,,451,1142.83,408.145,,375.01,-13.535,375.2541756,-2.067043284,-0.036068886,47.30785217
452,767.688,421.477,,,452,1142.85,408.121,,375.162,-13.356,375.3996657,-2.038904224,-0.035578082,47.39639539
453,767.738,421.477,,,453,1142.78,408.191,,375.042,-13.286,375.2772569,-2.028875509,-0.035403158,47.63864166
454,768.031,421.488,,,454,1142.81,408.164,,374.779,-13.324,375.0157701,-2.036100158,-0.035529173,47.68339349
455,768.035,421.445,,,455,1142.87,408.176,,374.835,-13.269,375.069785,-2.027399708,-0.035377417,47.64244392
456,768.035,421.453,,,456,1142.86,408.184,,374.825,-13.269,375.0597912,-2.027453752,-0.035378359,47.67313886
457,768.027,421.328,,,457,1143.13,408.164,,375.103,-13.164,375.33392,-2.009933872,-0.035072769,47.64295689
458,768.039,420.609,,,458,1142.82,408.121,,374.781,-12.488,374.9889973,-1.908434703,-0.03330231,47.71989206
459,768.133,420.668,,,459,1142.76,408.094,,374.627,-12.574,374.8379578,-1.922356849,-0.033545162,47.66928149
460,768.195,420.645,,,460,1142.82,408.082,,374.625,-12.563,374.8355901,-1.920686637,-0.033516028,47.71678253
461,768.191,420.66,,,461,1143.12,408.102,,374.929,-12.558,375.139252,-1.918367239,-0.033475569,48.11000767
462,768.094,420.523,,,462,1142.93,408.199,,374.836,-12.324,375.0385418,-1.883113998,-0.032860623,48.05023804
463,768.082,420.523,,,463,1142.89,408.207,,374.808,-12.316,375.0102942,-1.882032958,-0.032841765,48.07399562
464,767.949,420.48,,,464,1143.14,408.254,,375.191,-12.226,375.3901458,-1.866383832,-0.032568782,48.11529301
465,767.918,420.43,,,465,1142.87,408.285,,374.952,-12.145,375.1486416,-1.855208237,-0.032373834,48.08338488
466,767.988,420.055,,,466,1142.77,408.301,,374.782,-11.754,374.9662705,-1.796334727,-0.031346819,48.10909793
467,768.031,420.059,,,467,1142.89,408.402,,374.859,-11.657,375.0402052,-1.781154342,-0.031082001,48.08111062
468,768.02,420.102,,,468,1142.72,408.383,,374.7,-11.719,374.8832151,-1.79138094,-0.031260402,48.46073114
469,767.938,419.836,,,469,1143.22,408.402,,375.282,-11.434,375.4561438,-1.745133908,-0.030453623,48.56129
